ticker,percentage_or_shares
FSUGY,22.86
KWHIY,11.93
TM,4.51
CRH,10
DQJCY,66.125
BUD,18.19
VCISY,19.63
MURGY,109.53
SBGSY,35.73
SHECY,52.25
VEOEY,49.92
SMCAY,43.31
BMWKY,35.56
ERIC,51.36
MHVIY,22.88
SFTBY,53.28
FERG,4.85
OPHLY,166.65
IMBBY,29.02
CJPRY,71.74
AER,6.56
DBOEY,34.49
BHKLY,7.12
IX,40.64
ASAZY,89.42
ADRNY,17
IBDRY,16.82
ITOCY,97.8
UOVEY,30
ZURVY,43.78
AIQUY,49.4
DSDVY,19.81
FJTSY,53.33
BHP,17.89
ASMIY,2.21
SONY,75
DANOY,111.69
NWG,69.87
PROSY,158.09
FSNUY,79.75
CFRUY,123.78
WHGLY,33.89
UBS,57.93
CRZBY,20.8
DHLGY,26.12
AAGIY,49.18
DBSDY,6.76
NOK,113.73
BAYRY,83.09
HDLMY,29.15
KBCSY,19.15
NGG,16.95
FRCOY,36.91
ENLAY,133.69
HOCPY,10.06
YARIY,33.96
FNV,3.98
EBKDY,20.34
PCRHY,60.64
NVS,9.98
SSEZY,58.67
TTE,20.34
AXAHY,57.3
LGRDY,50.31
KMTUY,35.27
SUHJY,75.78
RNMBY,3.64
BKRIY,68.46
TEVA,50.72
MARUY,3.72
ARGX,2
IMO,11.49
MIELY,17.92
RHHBY,55.27
RIO,23.22
SMERY,7.79
E,28.29
SMFG,117.7
SIEGY,24.121
SCGLY,81.06
CAIXY,399.55
BTI,32.95
MITEY,50.99
BBVA,74.95
ATEYY,14.36
BNPQY,48.28
SCBFY,40
BAESY,18.24
BCS,98.79
SHEL,48.555
MITSY,2.96
SAFRY,34.29
LYG,494.9
AZN,20.688
DTEGY,85
GSK,61.516
ALIZY,94.6
IPXHY,85.58
HTHIY,157.66
SMTOY,32.74
UCBJY,20
TSM,7.89
MFG,382
GLNCY,203.79
SAN,363.15
HSBC,54.04
RYCEY,213
UNCRY,141.83
ASML,4.1
FISZX,1402.901
FDRXX,5107.05
FSUVX,667.784
FBLTX,389.853
FSPWX,1139.952
FIFGX,17.925
FSRJX,802.91
FSKLX,656.149
FUSIX,1976.048
FIWGX,14090.332
FCTDX,8393.719
FGOMX,5276.595
FDRXX,8957.30
FSUVX,1174.141
FBLTX,688.841
FSPWX,1979.57
FSRJX,1396.488
FIFGX,32.157
FSKLX,1155.616
FUSIX,3465.728
FIWGX,24716.208
FCTDX,14721.453
FGOMX,9256.998
