ticker,percentage_or_shares
VEOEY,49.92
SMCAY,43.31
IX,40.64
FSUGY,22.86
FJTSY,53.33
CRH,10
AXAHY,57.3
ZURVY,43.78
FERG,4.85
DQJCY,66.125
RHHBY,55.27
SIEGY,24.121
PRYMY,11.53
SSEZY,58.67
ASMIY,2.21
UBS,57.93
UOVEY,30
BMWKY,35.56
TM,4.51
SHECY,52.25
SSUMY,14.86
CFRUY,123.78
IBDRY,16.82
AIQUY,49.4
IMBBY,29.02
ASAZY,89.42
SONY,75
ORANY,23.53
TOELY,5.92
VWAGY,95.9
DANOY,111.69
MURGY,109.53
BXBLY,25.82
SZKMY,13.18
GMAB,20.66
KDDIY,48.55
HLN,59
SVNDY,45.44
VLVLY,11.97
UPMMY,29.56
MQBKY,6.62
DSDVY,19.81
BUD,18.19
ISUZY,46.92
PROSY,158.09
MGDDY,28.8
SBGSY,35.73
ATLKY,24.46
MBGYY,71.53
DKILY,40.97
NXPI,2.78
PUK,27.25
TELFY,89.5
LSEGY,11.65
ESLOY,13.11
NVZMY,9.22
CODYY,67.95
LVMUY,9.32
NTDOY,31.34
SKHHY,74.64
CHGCY,33.02
HXGBY,69
UL,16.341
DSCSY,7.78
CMPGY,54.25
SPOT,0.67
RELX,27.2
WTKWY,8.04
FUJIY,82.73
HMC,18.14
BURBY,20.47
SAP,12
HESAY,4.39
RNECY,84.76
DEO,11.22
GVDNY,10.23
TGOPY,166.34
PRNDY,41.74
FDRXX,5107.05
FGOMX,5276.595
FCTDX,8393.719
FIFGX,17.925
FUSIX,1976.048
FIWGX,14090.332
FSKLX,656.149
FSPWX,1139.952
FSRJX,802.91
FBLTX,389.853
FSUVX,667.784
FDRXX,8957.30
FGOMX,9256.998
FIFGX,32.157
FCTDX,14721.453
FUSIX,3465.728
FIWGX,24716.208
FSKLX,1155.616
FSPWX,1979.57
FSRJX,1396.488
FBLTX,688.841
FSUVX,1174.141
